Title,imdb_id
Diva,tt0082269
Better Off Dead...,tt0088794
A River Runs Through It,tt0105265
Strictly Ballroom,tt0105488
Go,tt0139239
Heathers,tt0097493
A Bug's Life,tt0120623
Pump Up the Volume,tt0100436
Strange Days,tt0114558
The Spanish Prisoner,tt0120176
Face/Off,tt0119094
Chasing Amy,tt0118842
Swingers,tt0117802
The Full Monty,tt0119164
Election,tt0126886
The Name of the Rose,tt0091605
The Last Samurai,tt0325710
Un Chien Andalou,tt0020530
The Day the Earth Stood Still,tt0043456
Hamlet,tt0116477
The Fifth Element,tt0119116
A Few Good Men,tt0104257
Fried Green Tomatoes,tt0101921
Night on Earth,tt0102536
Evil Dead II,tt0092991
Road to Perdition,tt0257044
A Man for All Seasons,tt0060665
The Last Emperor,tt0093389
Donnie Brasco,tt0119008
In America,tt0298845
3:10 to Yuma,tt0381849
Blue Velvet,tt0090756
Deliverance,tt0068473
Sense and Sensibility,tt0114388
Fantasia,tt0032455
Roma,tt6155172
Gravity,tt1454468
"O Brother, Where Art Thou?",tt0190590
"South Park: Bigger, Longer & Uncut",tt0158983
Blazing Saddles,tt0071230
What's Eating Gilbert Grape,tt0108550
Run Lola Run,tt0130827
Happiness,tt0147612
The Postman,tt0110877
Lost in Translation,tt0335266
Rebel Without a Cause,tt0048545
The Game,tt0119174
The Caine Mutiny,tt0046816
Changeling,tt0824747
Miller's Crossing,tt0100150
Crash,tt0375679
Clerks,tt0109445
The Magnificent Seven,tt0054047
Billy Elliot,tt0249462
Airplane!,tt0080339
Argo,tt1024648
Being John Malkovich,tt0120601
The Birds,tt0056869
The French Connection,tt0067116
As Good as It Gets,tt0119822
Down by Law,tt0090967
Short Cuts,tt0108122
Adaptation.,tt0268126
Goldfinger,tt0058150
Shine,tt0117631
The Social Network,tt1285016
Like Stars on Earth,tt0986264
The Great Dictator,tt0032553
A Charlie Brown Christmas,tt0059026
High and Low,tt0057565
How the Grinch Stole Christmas!,tt0060345
Pather Panchali,tt0048473
Raatchasan,tt7060344
